Detail_ID,Discount,Discount_Amount,ExistedQuantity,P_ID,Product_Category,Product_Description,PurchaseCurrency,Purchase_ID,Qty,SerialNumber,Total,Total_Cost,Unit_Cost
644,0.,$0.00,0,1793,Accessories,Green Lion 4 in 1 TF Card Reader Supports Micro SD Cards,USD,112,2,,$11.00,$11.00,$5.50
645,0.,$0.00,0,1795,Accessories,Green Lion 3 in 1 Card Reader USB-A & USB-C Connectivity,USD,112,1,,$4.50,$4.50,$4.50
646,0.,$0.00,0,1794,Accessories,Green Lion 3 in 1 OTG,USD,112,1,,$5.00,$5.00,$5.00
647,0.,$0.00,0,1796,Accessories,Green Lion Power Bank Toledo 10000 mah 20W Fast Charging,USD,112,1,,$11.00,$11.00,$11.00
648,0.,$0.00,0,1797,Accessories,Green Lion Power Bank Kyoto 10000 mah PD 20W Fast Charging,USD,112,1,,$11.00,$11.00,$11.00
649,0.,$0.00,0,1798,Accessories,Flip Case For Pro 11 2024,USD,112,1,,$5.50,$5.50,$5.50
650,0.,$0.00,0,1799,Accessories,Flip Case For iP 10.2 / 10.5,USD,112,1,,$5.50,$5.50,$5.50
651,0.,$0.00,0,1800,Accessories,Flip Case For Air 11 2024 / 2025,USD,112,1,,$5.50,$5.50,$5.50
652,0.,$0.00,0,1801,Accessories,Flip Case Samsung Tab A11 2025,USD,112,5,,$32.50,$32.50,$6.50
653,0.,$0.00,0,1802,Accessories,Flip Case Samsung Tab A11+ 2025,USD,112,5,,$32.50,$32.50,$6.50
654,0.,$0.00,0,1803,Accessories,Flip Case Samsung Tab S10 FE+ 13.1 inch 2025,USD,112,1,,$6.50,$6.50,$6.50
655,0.,$0.00,0,1752,Accessories,Green Lion Car FM Transmitter Kit 30W Fast Charge GL-FM2,USD,112,2,,$18.00,$18.00,$9.00
656,0.,$0.00,0,1753,Accessories,Green Lion Compact Car Charger Dual Port Fast Charger 12W,USD,112,2,,$5.00,$5.00,$2.50
657,0.,$0.00,0,1749,Accessories,Porodo 95w transparent usb fwc048,USD,112,2,,$11.00,$11.00,$5.50
658,0.,$0.00,0,1754,Accessories,Green Lion USB-A to Lightning PVC Cable 2m,USD,112,3,,$6.00,$6.00,$2.00
659,0.,$0.00,0,1756,Accessories,Green Lion USB-C to Lightning PVC Cable 2m,USD,112,3,,$6.00,$7.50,$2.50
660,0.,$0.00,0,1755,Accessories,Green Lion USB-A to USB-C PVC Cable 2m,USD,112,3,,$6.00,$6.00,$2.00
661,0.,$0.00,0,1634,Accessories,Green Lion Dynamic Duo Watch Ultimate 41 and Earbuds Pro 2 GL-SWA11,USD,112,2,,$40.00,$40.00,$20.00
662,0.,$0.00,0,1757,Accessories,Green Lion Flex 46 2.06 IPS Smart Watch GL-SW11,USD,112,1,,$17.50,$17.50,$17.50
663,0.,$0.00,0,1758,Accessories,Green Lion Rivo Smart Watch Pink GL-SWA46,USD,112,1,,$26.00,$26.00,$26.00
664,0.,$0.00,0,1759,Accessories,Porodo Kids Flip Digital Camera with Tripod Stand LFS014,USD,112,2,,$29.00,$29.00,$14.50
665,0.,$0.00,0,1761,Accessories,Crown M50/S600 Watch + Airpods,USD,112,2,,$16.00,$16.00,$8.00
666,0.,$0.00,0,1760,Accessories,Crown C500 Watch + Headphone,USD,112,1,,$7.00,$7.00,$7.00
667,0.,$0.00,0,452,Accessories,Samsung Original Charger 25W PD,USD,112,5,,$40.00,$40.00,$8.00
668,0.,$0.00,0,1306,Accessories,Samsung Original Charger 45W PD Adapter C to C 5A 1.8m,USD,112,5,,$105.00,$105.00,$21.00
669,0.,$0.00,10,118,Accessories,Apple Original USB-C 20W Power Adapter,USD,112,3,,$51.00,$51.00,$17.00
670,0.,$0.00,6,1631,Accessories,Iphone 17 Pro Max iPefet Antishock Case,USD,112,3,,$16.50,$16.50,$5.50
671,0.,$0.00,0,1766,Accessories,Case iPhone 17 Pro Max,USD,112,2,,$9.00,$9.00,$4.50
672,0.,$0.00,0,1767,Accessories,Case iPhone 17 Pro,USD,112,2,,$9.00,$9.00,$4.50
